序号,本月通话分钟数,本年度未按时缴费次数,实际折扣率,用例类型,测试人,预期输出,实际输出,是否通过
1,20,0,1.00%,弱一般等价类,何慧琳,25.03,,
2,90,2,1.50%,弱一般等价类,何慧琳,25.2025,,
3,150,3,2.00%,弱一般等价类,何慧琳,25.45,,
4,240,5,2.50%,弱一般等价类,何慧琳,25.9,,
5,500,7,0.00%,弱一般等价类,何慧琳,100,,
6,30,2,0.00%,强一般等价类,何慧琳,29.5,,
7,40,3,0.00%,强一般等价类,何慧琳,31,,
8,50,4,0.00%,强一般等价类,何慧琳,32.5,,
9,60,11,0.00%,强一般等价类,何慧琳,34,,
10,70,1,1.50%,强一般等价类,何慧琳,25.1575,,
11,80,3,0.00%,强一般等价类,何慧琳,37,,
12,110,5,0.00%,强一般等价类,何慧琳,41.5,,
13,120,10,0.00%,强一般等价类,何慧琳,43,,
14,130,0,2.00%,强一般等价类,何慧琳,25.39,,
15,160,2,2.00%,强一般等价类,何慧琳,25.48,,
16,170,4,0.00%,强一般等价类,何慧琳,50.5,,
17,180,8,0.00%,强一般等价类,何慧琳,52,,
18,200,1,2.50%,强一般等价类,何慧琳,25.75,,
19,260,2,2.50%,强一般等价类,何慧琳,25.975,,
20,280,3,0.00%,强一般等价类,何慧琳,67,,
21,300,9,0.00%,强一般等价类,何慧琳,70,,
22,310,0,3.00%,强一般等价类,何慧琳,26.395,,
23,400,2,3.00%,强一般等价类,何慧琳,26.8,,
24,600,3,3.00%,强一般等价类,何慧琳,27.7,,
25,660,6,3.00%,强一般等价类,何慧琳,27.97,,
26,45,-1,null,额外弱健壮,何慧琳,数值越界,,
27,35,12,0.00%,额外弱健壮,何慧琳,30.25,,
28,77,-2,null,额外弱健壮,何慧琳,数值越界,,
29,111,13,0.00%,额外弱健壮,何慧琳,41.65,,
30,135,-3,null,额外弱健壮,何慧琳,数值越界,,
31,175,12,0.00%,额外弱健壮,何慧琳,51.25,,
32,201,-5,null,额外弱健壮,何慧琳,数值越界,,
33,286,15,0.00%,额外弱健壮,何慧琳,67.9,,
34,330,-4,null,额外弱健壮,何慧琳,数值越界,,
35,404,12,0.00%,额外弱健壮,何慧琳,85.6,,
36,-10,0,null,额外弱健壮,何慧琳,数值越界,,
37,-5,2,null,额外弱健壮,何慧琳,数值越界,,
38,-1,3,null,额外弱健壮,何慧琳,数值越界,,
39,-6,4,null,额外弱健壮,何慧琳,数值越界,,
40,-8,-2,null,额外强健壮,何慧琳,数值越界,,
41,-2,9,null,额外强健壮,何慧琳,数值越界,,
